                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0913,                0.76925,                 1.0972,                0.99674,                      1,                  0.995,                 0.5101,                  1.469,                0.76493,                 1.6337,             0.00039125,             0.00039125,             0.00039125
                     67,                 1.0885,                0.79267,                 1.1226,                0.99667,                      1,                  0.995,                0.50106,                 1.4795,                0.77284,                   1.66,              0.0003665,              0.0003665,              0.0003665
                     68,                 1.0775,                 0.7623,                  1.084,                0.99652,                      1,                  0.995,                0.50671,                 1.4867,                0.78588,                 1.6804,             0.00034175,             0.00034175,             0.00034175
                     69,                 1.1356,                0.77796,                 1.1401,                0.99657,                      1,                  0.995,                0.51746,                 1.4885,                 0.7655,                 1.6642,               0.000317,               0.000317,               0.000317
                     70,                  1.007,                0.76362,                 1.0619,                0.99704,                      1,                  0.995,                 0.5066,                 1.5177,                0.71973,                  1.693,             0.00029225,             0.00029225,             0.00029225
                     71,                 1.0272,                0.79639,                 1.0632,                 0.9973,                      1,                  0.995,                0.51234,                 1.5033,                0.74146,                 1.6567,              0.0002675,              0.0002675,              0.0002675
                     72,                0.98287,                0.78261,                 1.0583,                0.99729,                      1,                  0.995,                0.50839,                 1.5073,                0.74864,                 1.6478,             0.00024275,             0.00024275,             0.00024275
                     73,                 1.0226,                0.78115,                 1.0352,                0.99702,                      1,                  0.995,                0.48897,                 1.5141,                0.76049,                 1.6526,               0.000218,               0.000218,               0.000218
                     74,                0.95973,                0.78225,                 1.0462,                0.99628,                      1,                  0.995,                0.48159,                 1.5391,                0.79397,                 1.6932,             0.00019325,             0.00019325,             0.00019325
                     75,                0.98656,                0.80849,                 1.0228,                0.99598,                      1,                  0.995,                0.48166,                 1.5509,                0.79408,                 1.7099,              0.0001685,              0.0001685,              0.0001685
                     76,                0.95239,                0.77293,                 1.0164,                0.99521,                      1,                  0.995,                0.49832,                 1.5494,                 0.8039,                 1.7146,             0.00014375,             0.00014375,             0.00014375
                     77,                0.96609,                0.77325,                 1.0258,                0.99477,                      1,                  0.995,                0.48894,                 1.5404,                0.78876,                 1.7068,               0.000119,               0.000119,               0.000119
                     78,                0.93403,                0.75107,                 1.0012,                0.99423,                      1,                  0.995,                0.48435,                   1.53,                 0.7935,                 1.7031,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                 1.0236,                0.75882,                 1.0282,                0.99381,                      1,                  0.995,                0.48263,                 1.5306,                0.79326,                 1.7148,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                0.94129,                0.75558,                 1.0345,                0.99168,                      1,                  0.995,                0.48118,                 1.5299,                0.78892,                 1.7116,              4.475e-05,              4.475e-05,              4.475e-05
